"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 02 08:49:30 GMT 2024","Sat Mar 02 08:49:32 GMT 2024","1970","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openRegistrationPage","Open Send a registration page",""
"passed","Sat Mar 02 08:49:33 GMT 2024","Sat Mar 02 08:49:35 GMT 2024","1823","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openReminderPage","Open Send a reminder page",""
"broken","Sat Mar 02 08:49:14 GMT 2024","Sat Mar 02 08:49:26 GMT 2024","11715","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Sat Mar 02 08:49:54 GMT 2024","Sat Mar 02 08:49:56 GMT 2024","2192","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Sat Mar 02 08:48:59 GMT 2024","Sat Mar 02 08:49:00 GMT 2024","1625","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"broken","Sat Mar 02 08:49:35 GMT 2024","Sat Mar 02 08:49:47 GMT 2024","11643","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","successfulLogin","Login with valid credentials",""
"passed","Sat Mar 02 08:49:48 GMT 2024","Sat Mar 02 08:49:50 GMT 2024","2219","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Sat Mar 02 08:49:26 GMT 2024","Sat Mar 02 08:49:29 GMT 2024","2574","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"broken","Sat Mar 02 08:49:01 GMT 2024","Sat Mar 02 08:49:13 GMT 2024","11629","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Sat Mar 02 08:49:51 GMT 2024","Sat Mar 02 08:49:53 GMT 2024","2227","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
