"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 14:12:40 GMT 2024","Mon Mar 04 14:12:42 GMT 2024","2209","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","successfulLogin","Login with valid credentials",""
"passed","Mon Mar 04 14:12:20 GMT 2024","Mon Mar 04 14:12:22 GMT 2024","2094","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:12:35 GMT 2024","Mon Mar 04 14:12:37 GMT 2024","1380","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openRegistrationPage","Open Send a registration page",""
"passed","Mon Mar 04 14:12:27 GMT 2024","Mon Mar 04 14:12:29 GMT 2024","2039","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:12:23 GMT 2024","Mon Mar 04 14:12:24 GMT 2024","1192","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:12:33 GMT 2024","Mon Mar 04 14:12:34 GMT 2024","1869","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:12:37 GMT 2024","Mon Mar 04 14:12:39 GMT 2024","1292","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openReminderPage","Open Send a reminder page",""
"passed","Mon Mar 04 14:12:43 GMT 2024","Mon Mar 04 14:12:44 GMT 2024","1509","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Mon Mar 04 14:12:25 GMT 2024","Mon Mar 04 14:12:26 GMT 2024","1125","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:12:47 GMT 2024","Mon Mar 04 14:12:49 GMT 2024","1540","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Mon Mar 04 14:12:30 GMT 2024","Mon Mar 04 14:12:32 GMT 2024","1874","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:12:45 GMT 2024","Mon Mar 04 14:12:47 GMT 2024","1530","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
