"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 04 14:41:57 GMT 2024","Mon Mar 04 14:42:02 GMT 2024","5130","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","resetFilterWithoutEntries","Reset filter with empty search results",""
"passed","Mon Mar 04 14:39:40 GMT 2024","Mon Mar 04 14:39:41 GMT 2024","1539","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","openRegistrationPage","Open Send a registration page",""
"passed","Mon Mar 04 14:39:21 GMT 2024","Mon Mar 04 14:39:25 GMT 2024","3910","Monkkee Regression","Regression Tags","tests.TagsTest","tests.TagsTest","assignTags","Assign tag",""
"passed","Mon Mar 04 14:40:08 GMT 2024","Mon Mar 04 14:40:11 GMT 2024","2738","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:40:57 GMT 2024","Mon Mar 04 14:41:21 GMT 2024","23414","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","reduceToolbar","Reduce a toolbar",""
"passed","Mon Mar 04 14:39:49 GMT 2024","Mon Mar 04 14:39:52 GMT 2024","2799","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:39:49 GMT 2024","Mon Mar 04 14:39:50 GMT 2024","1428","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Mon Mar 04 14:40:04 GMT 2024","Mon Mar 04 14:40:07 GMT 2024","3073","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:39:24 GMT 2024","Mon Mar 04 14:39:27 GMT 2024","2739","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToFooterSection","Verify redirections of footer buttons",""
"passed","Mon Mar 04 14:39:59 GMT 2024","Mon Mar 04 14:40:03 GMT 2024","3486","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:39:27 GMT 2024","Mon Mar 04 14:39:40 GMT 2024","13605","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","addPicture","Add a picture",""
"passed","Mon Mar 04 14:39:21 GMT 2024","Mon Mar 04 14:39:23 GMT 2024","1745","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:42:06 GMT 2024","Mon Mar 04 14:42:10 GMT 2024","3895","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","searchForSingleEntry","Search a created entry",""
"passed","Mon Mar 04 14:39:21 GMT 2024","Mon Mar 04 14:39:23 GMT 2024","1842","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToFooterSection","Verify redirections of footer buttons",""
"passed","Mon Mar 04 14:39:31 GMT 2024","Mon Mar 04 14:39:32 GMT 2024","1697","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToFooterSection","Verify redirections of footer buttons",""
"passed","Mon Mar 04 14:39:56 GMT 2024","Mon Mar 04 14:40:19 GMT 2024","22608","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","cancelPicture","Cancel a picture",""
"passed","Mon Mar 04 14:40:08 GMT 2024","Mon Mar 04 14:40:11 GMT 2024","2820","Monkkee Regression","Regression Tags","tests.TagsTest","tests.TagsTest","goHomeFromTagsPage","Go home from Tags page",""
"broken","Mon Mar 04 14:39:26 GMT 2024","Mon Mar 04 14:39:29 GMT 2024","2998","Monkkee Regression","Regression Tags","tests.TagsTest","tests.TagsTest","deleteAllTags","Delete all tags",""
"passed","Mon Mar 04 14:40:12 GMT 2024","Mon Mar 04 14:40:14 GMT 2024","2705","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:40:24 GMT 2024","Mon Mar 04 14:40:39 GMT 2024","14876","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","crudEntry","CRUD a simple entry",""
"passed","Mon Mar 04 14:39:29 GMT 2024","Mon Mar 04 14:39:31 GMT 2024","2150","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Mon Mar 04 14:39:45 GMT 2024","Mon Mar 04 14:39:48 GMT 2024","3115","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:39:30 GMT 2024","Mon Mar 04 14:39:45 GMT 2024","15293","Monkkee Regression","Regression Tags","tests.TagsTest","tests.TagsTest","deleteTag","Delete tag by name",""
"passed","Mon Mar 04 14:39:41 GMT 2024","Mon Mar 04 14:39:44 GMT 2024","2777","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToSHeaderSection","Verify redirections of header buttons",""
"passed","Mon Mar 04 14:39:51 GMT 2024","Mon Mar 04 14:39:52 GMT 2024","1506","Monkkee Regression","Regression Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Mon Mar 04 14:39:21 GMT 2024","Mon Mar 04 14:39:26 GMT 2024","4928","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","addLinkToNewEntry","Add link",""
"passed","Mon Mar 04 14:40:20 GMT 2024","Mon Mar 04 14:40:24 GMT 2024","4179","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","createEntryWithFormatting","Create an entry with formatting",""
"passed","Mon Mar 04 14:39:34 GMT 2024","Mon Mar 04 14:39:36 GMT 2024","1551","Monkkee Regression","Regression General","tests.HeaderFooterTest","tests.HeaderFooterTest","goToFooterSection","Verify redirections of footer buttons",""
"passed","Mon Mar 04 14:39:52 GMT 2024","Mon Mar 04 14:39:55 GMT 2024","2712","Monkkee Regression","Regression General","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"passed","Mon Mar 04 14:41:22 GMT 2024","Mon Mar 04 14:41:35 GMT 2024","13490","Monkkee Regression","Regression Entries","tests.EntriesTest","tests.EntriesTest","removeLinkFromNewEntry","Remove link",""
