"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 01 18:52:58 GMT 2024","Fri Mar 01 18:53:09 GMT 2024","11710","Monkkee Regression","Regression","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"broken","Fri Mar 01 18:47:28 GMT 2024","Fri Mar 01 18:47:40 GMT 2024","11532","Monkkee Regression","Regression","tests.EntriesTest","tests.EntriesTest","cancelPicture","Cancel a picture",""
"passed","Fri Mar 01 18:46:42 GMT 2024","Fri Mar 01 18:46:44 GMT 2024","2022","Monkkee Regression","Regression","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"broken","Fri Mar 01 18:52:20 GMT 2024","Fri Mar 01 18:52:32 GMT 2024","11517","Monkkee Regression","Regression","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"broken","Fri Mar 01 18:48:06 GMT 2024","Fri Mar 01 18:48:18 GMT 2024","11801","Monkkee Regression","Regression","tests.EntriesTest","tests.EntriesTest","expandToolbar","Expand a toolbar",""
"broken","Fri Mar 01 18:49:09 GMT 2024","Fri Mar 01 18:49:20 GMT 2024","11603","Monkkee Regression","Regression","tests.EntriesTest","tests.EntriesTest","resetFilterWithoutEntries","Reset filter with empty search results",""
"broken","Fri Mar 01 18:52:33 GMT 2024","Fri Mar 01 18:52:44 GMT 2024","11697","Monkkee Regression","Regression","tests.SettingsTest","tests.SettingsTest","goToSettingSection","Verify the display of settings section",""
"broken","Fri Mar 01 18:46:00 GMT 2024","Fri Mar 01 18:46:11 GMT 2024","11618","Monkkee Regression","Cleanup","tests.CleanupTest","tests.CleanupTest","deleteAllTags","Delete all tags",""
"broken","Fri Mar 01 18:49:21 GMT 2024","Fri Mar 01 18:49:33 GMT 2024","11607","Monkkee Regression","Regression","tests.EntriesTest","tests.EntriesTest","searchForNonExistingEntry","Search for non-existing entry",""
"broken","Fri Mar 01 18:51:43 GMT 2024","Fri Mar 01 18:51:55 GMT 2024","11619","Monkkee Regression","Regression","tests.TagsTest","tests.TagsTest","removeTag","Remove assigned tag",""
