"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 19:50:43 GMT 2024","Fri Mar 01 19:50:44 GMT 2024","1440","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Fri Mar 01 19:50:45 GMT 2024","Fri Mar 01 19:50:47 GMT 2024","1454","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Fri Mar 01 19:50:25 GMT 2024","Fri Mar 01 19:50:26 GMT 2024","1293","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openRegistrationPage","Open Send a registration page",""
"passed","Fri Mar 01 19:50:27 GMT 2024","Fri Mar 01 19:50:28 GMT 2024","1276","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openReminderPage","Open Send a reminder page",""
"passed","Fri Mar 01 19:50:41 GMT 2024","Fri Mar 01 19:50:42 GMT 2024","1470","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"broken","Fri Mar 01 19:49:58 GMT 2024","Fri Mar 01 19:50:09 GMT 2024","11258","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"broken","Fri Mar 01 19:50:10 GMT 2024","Fri Mar 01 19:50:21 GMT 2024","11293","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"broken","Fri Mar 01 19:50:29 GMT 2024","Fri Mar 01 19:50:40 GMT 2024","11254","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","successfulLogin","Login with valid credentials",""
"passed","Fri Mar 01 19:50:22 GMT 2024","Fri Mar 01 19:50:24 GMT 2024","1935","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 19:49:56 GMT 2024","Fri Mar 01 19:49:57 GMT 2024","1200","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
