"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 19:40:48 GMT 2024","Fri Mar 01 19:40:50 GMT 2024","1732","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Fri Mar 01 19:40:01 GMT 2024","Fri Mar 01 19:40:03 GMT 2024","1447","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"broken","Fri Mar 01 19:40:36 GMT 2024","Fri Mar 01 19:40:47 GMT 2024","11397","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","successfulLogin","Login with valid credentials",""
"broken","Fri Mar 01 19:40:16 GMT 2024","Fri Mar 01 19:40:27 GMT 2024","11436","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"broken","Fri Mar 01 19:40:03 GMT 2024","Fri Mar 01 19:40:15 GMT 2024","11607","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 19:40:51 GMT 2024","Fri Mar 01 19:40:52 GMT 2024","1764","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Fri Mar 01 19:40:28 GMT 2024","Fri Mar 01 19:40:30 GMT 2024","2170","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 19:40:34 GMT 2024","Fri Mar 01 19:40:35 GMT 2024","1561","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openReminderPage","Open Send a reminder page",""
"passed","Fri Mar 01 19:40:31 GMT 2024","Fri Mar 01 19:40:33 GMT 2024","1606","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openRegistrationPage","Open Send a registration page",""
"passed","Fri Mar 01 19:40:53 GMT 2024","Fri Mar 01 19:40:55 GMT 2024","1695","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
