"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 01 18:01:23 GMT 2024","Fri Mar 01 18:01:34 GMT 2024","11264","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"broken","Fri Mar 01 18:01:11 GMT 2024","Fri Mar 01 18:01:22 GMT 2024","11194","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 18:01:09 GMT 2024","Fri Mar 01 18:01:10 GMT 2024","1191","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 18:01:53 GMT 2024","Fri Mar 01 18:01:55 GMT 2024","1358","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"broken","Fri Mar 01 18:01:41 GMT 2024","Fri Mar 01 18:01:52 GMT 2024","11111","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","successfulLogin","Login with valid credentials",""
"passed","Fri Mar 01 18:01:57 GMT 2024","Fri Mar 01 18:01:59 GMT 2024","1387","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Fri Mar 01 18:01:37 GMT 2024","Fri Mar 01 18:01:39 GMT 2024","1346","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openRegistrationPage","Open Send a registration page",""
"passed","Fri Mar 01 18:01:35 GMT 2024","Fri Mar 01 18:01:36 GMT 2024","1870","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 18:01:39 GMT 2024","Fri Mar 01 18:01:41 GMT 2024","1309","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openReminderPage","Open Send a reminder page",""
"passed","Fri Mar 01 18:01:55 GMT 2024","Fri Mar 01 18:01:57 GMT 2024","1461","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
