"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 01 17:54:28 GMT 2024","Fri Mar 01 17:54:30 GMT 2024","2116","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 17:54:53 GMT 2024","Fri Mar 01 17:54:55 GMT 2024","1771","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Fri Mar 01 17:54:51 GMT 2024","Fri Mar 01 17:54:53 GMT 2024","1741","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"broken","Fri Mar 01 17:54:04 GMT 2024","Fri Mar 01 17:54:15 GMT 2024","11454","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"broken","Fri Mar 01 17:54:36 GMT 2024","Fri Mar 01 17:54:48 GMT 2024","11414","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","successfulLogin","Login with valid credentials",""
"broken","Fri Mar 01 17:54:16 GMT 2024","Fri Mar 01 17:54:28 GMT 2024","11550","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 17:54:31 GMT 2024","Fri Mar 01 17:54:33 GMT 2024","1589","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openRegistrationPage","Open Send a registration page",""
"passed","Fri Mar 01 17:54:48 GMT 2024","Fri Mar 01 17:54:50 GMT 2024","1715","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Fri Mar 01 17:54:34 GMT 2024","Fri Mar 01 17:54:35 GMT 2024","1572","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openReminderPage","Open Send a reminder page",""
"passed","Fri Mar 01 17:54:01 GMT 2024","Fri Mar 01 17:54:03 GMT 2024","1299","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
