"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 02 09:02:35 GMT 2024","Sat Mar 02 09:02:38 GMT 2024","2106","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","successfulLogin","Login with valid credentials",""
"passed","Sat Mar 02 09:02:41 GMT 2024","Sat Mar 02 09:02:42 GMT 2024","1488","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Sat Mar 02 09:02:23 GMT 2024","Sat Mar 02 09:02:25 GMT 2024","1848","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Sat Mar 02 09:02:38 GMT 2024","Sat Mar 02 09:02:40 GMT 2024","1563","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Sat Mar 02 09:02:17 GMT 2024","Sat Mar 02 09:02:18 GMT 2024","1331","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Sat Mar 02 09:02:21 GMT 2024","Sat Mar 02 09:02:22 GMT 2024","1129","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Sat Mar 02 09:02:33 GMT 2024","Sat Mar 02 09:02:35 GMT 2024","1352","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openReminderPage","Open Send a reminder page",""
"passed","Sat Mar 02 09:02:19 GMT 2024","Sat Mar 02 09:02:20 GMT 2024","1275","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Sat Mar 02 09:02:28 GMT 2024","Sat Mar 02 09:02:30 GMT 2024","1985","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Sat Mar 02 09:02:26 GMT 2024","Sat Mar 02 09:02:27 GMT 2024","1875","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Sat Mar 02 09:02:31 GMT 2024","Sat Mar 02 09:02:32 GMT 2024","1336","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openRegistrationPage","Open Send a registration page",""
"passed","Sat Mar 02 09:02:43 GMT 2024","Sat Mar 02 09:02:44 GMT 2024","1422","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
