"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 01 18:19:09 GMT 2024","Fri Mar 01 18:19:20 GMT 2024","11347","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 18:19:27 GMT 2024","Fri Mar 01 18:19:28 GMT 2024","1534","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openReminderPage","Open Send a reminder page",""
"passed","Fri Mar 01 18:19:21 GMT 2024","Fri Mar 01 18:19:23 GMT 2024","2294","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 18:19:47 GMT 2024","Fri Mar 01 18:19:48 GMT 2024","1743","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"passed","Fri Mar 01 18:18:54 GMT 2024","Fri Mar 01 18:18:56 GMT 2024","1305","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 18:19:24 GMT 2024","Fri Mar 01 18:19:26 GMT 2024","1614","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","openRegistrationPage","Open Send a registration page",""
"passed","Fri Mar 01 18:19:41 GMT 2024","Fri Mar 01 18:19:43 GMT 2024","1753","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
"broken","Fri Mar 01 18:19:29 GMT 2024","Fri Mar 01 18:19:40 GMT 2024","11322","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","successfulLogin","Login with valid credentials",""
"broken","Fri Mar 01 18:18:56 GMT 2024","Fri Mar 01 18:19:08 GMT 2024","11541","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","loginWithInvalidCredentials","Login with empty/invalid credentials",""
"passed","Fri Mar 01 18:19:44 GMT 2024","Fri Mar 01 18:19:46 GMT 2024","1739","Monkkee BVT","Login","tests.LoginTest","tests.LoginTest","verifyLanguageByReminderText","Change login page language",""
